label,text
1,urgent mobile number awarded £ prize guaranteed call land line claim valid hr
0,probably gonna swing wee bit
0,tunde wishing great day abiola
0,alex say ok ok
0,nope think go monday sorry replied late
0,back brum thanks putting u keeping u happy see soon
0,fran decided go n e way im completely broke knackered got bout c u mrw love janx p dad fone credit
0,hey gorgeous man work mobile number good one babe squishy mwahs
1,gsoh good spam lady u could b male gigolo join uk fastest growing men club reply oncall mjzgroup stop reply stop msg £ rcvd
1,simpson movie released july name band died start film green day b blue day c red day send b c
0,it‘s reassuring crazy world
0,spending new year brother family let plan meet next week ready spoiled
0,took hooch walk toaday fell splat grazed knee everything stayed home see tomorrow
0,lol real told dad cancer
1,urgent mobile xxx £ bonus caller prize nd attempt reach call asap box n qp ppm
0,hi spoke maneesha v like know satisfied experience reply toll free yes
0,goodmorning today late lt decimal gt min
0,hey around got enough half ten owe
0,tell friend plan valentine day lt url gt
0,hey time driving fri go evaluation fri
0,whore unbelievable
0,told tell stupid hear wont tell anything dad called brother spoken
0,ujhhhhhhh computer shipped address sandiago parantella lane wtf poop
1,email alertfrom jeri stewartsize kbsubject low cost prescripiton drvgsto listen email call
0,class lt gt reunion
0,damn make tonight want wait til tomorrow
0,hi da today class
0,per request maangalyam alaipayuthe set callertune caller press copy friend callertune
0,depends individual lor e hair dresser say pretty parent say look gong u kaypoh also dunno wat collecting
0,gone get info bt dont know
0,men like shorter lady gaze eye
0,fishrman woke early mrng dark waited amp found sack ful stone strtd throwin thm sea pas time atlast jus stone sun rose amp found tht r nt stone diamond moral dont wake early mrng good night
0,said would woke
1,free msg billed mobile number mistake shortcode please call charge refunded call free bt landline
0,number sir
0,text creepy like think forgot
0,seriously spell name
0,painful personal thought always try keep everybody happy time nobody recognises alone
0,haha first person gonna ask
0,husband
0,well must pain catch
0,pls send correct name da
0,thanx yup coming back sun finish dinner going back hotel time fly tog exactly mth today hope haf many mths come
1,dating service asked contact u someone shy call revealed pobox uz p
0,buying today ü need c meh
0,said problem let know
1,xclusive clubsaisai morow soiree speciale zouk nichols paris free rose lady info
0,dear cherthala case u r coming cochin pls call bfore u start shall also reach accordingly tell day u r coming tmorow engaged an holiday
0,sitting ard nothing lor u leh busy w work
1,freemsg awarded free mini digital camera reply snap collect prize quizclub opt stop p wk sp rwm ph
0,b late love mum
1,mila age blonde new uk look sex uk guy u like fun text mtalk pp txt st free £ increment help
0,call ok said call
0,designation software developer may get chennai
0,get chicken broth want ramen unless know
0,yes ammae life take lot turn sit try hold steering
1,adult content video shortly
0,hey u still gym
0,well welp sort semiobscure internet thing
0,hey project started aha da
0,think steyn surely get one wicket
0,oh lk tt den take e one tt end cine lor dun wan yogasana oso
1,freemsg feelin kinda lnly hope u like keep company jst got cam moby wanna c pic txt reply date msg p rcv hlp stop
0,seriously tell exact word right
0,ü decide faster co si going home liao
0,hand phone chat wit u
0,sir late paying rent past month pay lt gt charge felt would inconsiderate nag something give great cost didnt speak however recession wont able pay charge month hence askin well ahead month end please help thanks
0,alright make sure car back tonight
0,thanks loving rock
0,got arrested possession shit lt time gt pm
0,sorry din lock keypad
0,k want u come
0,sorry call later
0,k give back thanks
0,really sorry lit hair fire
0,nothing u dinner w u
1,contacted dating service someone know find call mobile landline pobox ldns
0,black shirt n blue jean thk c ü
0,ok take care umma
0,feel always happy slowly becomes habit amp finally becomes part life follow happy morning amp happy day
0,dad went oredi
0,waiting call sir
0,get headache trying figure u trust math promise
0,ask u meeting da ge tmr nite
0,noice text
0,yeah sure leave min
0,hi keen go kind feel go tomo mind
0,shore takin bus
0,go opening room til thanksgiving without upcharge
0,check audrey status right
0,lol happens vega stay vega
0,umma say anything
0,great run ttyl
0,hey happened u switch ur cell whole day isnt good u care give call tomorrow
0,whenever see still hook
0,yoyyooo u know change permission drive mac usb flash drive
0,hair cream shipped
0,gam gone outstanding inning
0,oh yeah hav great time newquay send postcard look girl im gone u know im talkin bout xx
0,good afternoon love go day hope maybe got lead job think boytoy send passionate kiss across sea
1,guaranteed £ cash £ prize claim yr prize call customer service representative
0,use foreign stamp country
0,work going min
0,also maaaan missing
1,sppok ur mob halloween collection nokia logo pic message plus free eerie tone txt card spook
0,u missed u havent much bit bored holiday want go bak college sad isnt xx
0,u meet fren dun wan meet ah muz b guy rite
0,u know stubborn even want go hospital kept telling mark weak sucker hospital weak sucker
0,whats house beer
0,go tell friend sure want live smoke much spend hour begging come smoke
0,sac score big hundred set batsman
0,happy come noon
0,doubt could handle time per night case
1,thank winner notified sm good luck future marketing reply stop customer service
1,free st week nokia tone ur mobile every week txt nokia get txting tell ur mate www getzed co uk pobox w wq norm p tone
1,u win £ music gift voucher every week starting txt word draw tscs www idew com skillgame winaweek age ppermesssubscription
0,eh ur laptop got stock lei say mon muz come take look c got
0,guy go see movie side
0,headin towards busetop
0,onum ela pa normal
0,hi happy new year dont mean intrude pls let know much tuition paid last semester much semester thanks
0,got lousy sleep kept waking every hour see cat wanted come worry cold
0,hello drivby quit edrunk sorry iff pthis make senrd dnot dancce drum n basq ihave fun nhite x ro xxxxxxx
0,guy kadeem selling since break know one guy paranoid fuck like selling without til late tonight
0,planning come chennai
0,day ü say ü cut ur hair paragon called hair sense ü noe much hair cut
0,schedule next week town weekend
0,im snowboarding trip wondering planning get everyone together befor go meet greet kind affair cheer
0,nothing
1,cashbin co uk get lot cash weekend www cashbin co uk dear welcome weekend got biggest best ever cash give away
0,yay better told girl either
0,yeah barely enough room two u x many fucking shoe sorry man see later
1,six chance win cash pound txt csh send cost p day day tsandcs apply reply hl info
0,well imma definitely need restock thanksgiving let know
0,ok found dis pierre cardin one look normal cost sale
0,may call later pls
0,let know contact settled room let know ok
0,actually nvm got hella cash still lt gt ish
0,wishing family merry x ma happy new year advance
0,love know feel make belly warm wish love shall meet dream ahmad adoring kiss
0,creepy crazy
0,yesterday going home
0,call message missed call
0,whatever want know rule talk earlier week start happening showing responsibility yet every week bend rule way way whatever tired thia argument every week lt gt movie doesnt inlude preview still getting
0,k need login anything
0,dont hesitate know second time weakness like keep notebook eat day anything changed day sure nothing
0,dear shall mail tonite busy street shall update tonite thing looking ok varunnathu edukkukayee raksha ollu good one real sense
0,weather
0,know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise
0,okie thanx
0,hey still lunch tomorrow
0,shall get pouch
0,nice nice working
0,fyi gonna call sporadically starting like lt gt bc doin shit
0,sent like
0,convey regard
0,jus finish bathing
0,baaaaabe miss youuuuu go teach class
0,short cute good person dont try prove gud mrng
0,cool like swimming pool jacuzzi house
0,probably still going stuff
0,pls pls find aunt nike
0,got like lt gt get later though get whatever feel like
0,luck catch put
0,fine got enough bud last night least
0,idea
